INFO | 2025-02-07 00:00 -- Day change encountered
INFO | 2025-02-07 00:00 -- New last_scanned_date set to 2025-02-07 00:00:00
INFO | 2025-02-07 00:00 -- Started quest scanning mode
INFO | 2025-02-08 00:00 -- Day change encountered
INFO | 2025-02-08 00:00 -- New last_scanned_date set to 2025-02-08T00:00:00
INFO | 2025-02-08 00:00 -- Started quest scanning mode
INFO | 2025-02-09 00:00 -- Day change encountered
INFO | 2025-02-09 00:00 -- New last_scanned_date set to 2025-02-09T00:00:00
INFO | 2025-02-09 00:00 -- Started quest scanning mode
INFO | 2025-02-09 00:10 -- Finished quest scanning mode
